연번,코스,위치명,위도,경도,소요시간,이미지
1,A,입구,37.406063,126.720797,0:00,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/A입구.jpg
2,A,갈림길1,37.406017,126.720135,1:04,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/A갈림길1.jpg
3,A,갈림길2,37.406419,126.719908,1:47,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/A갈림길2.jpg
4,A,갈림길3,37.40663,126.71987,2:26,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/A갈림길3.jpg
5,A,정상,37.407576,126.719651,4:21,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/A정상.jpg
6,B,입구,37.405545,126.718207,0:00,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/B입구.jpg
7,B,갈림길1,37.405958,126.718522,1:23,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/B갈림길1.jpg
8,B,갈림길2,37.40646,126.719158,3:46,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/B갈림길2.jpg
9,B,갈림길3,37.40705,126.719269,4:45,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/B갈림길3.jpg
10,B,정상,37.407576,126.719651,8:23,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/B정상.jpg
11,C,입구,37.40542,126.711789,0:00,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/C입구.jpg
12,C,갈림길1,37.405502,126.712356,1:20,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/C갈림길1.jpg
13,C,갈림길2,37.407373,126.714569,4:34,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/C갈림길2.jpg
14,C,갈림길3,37.407915,126.718073,9:37,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/C갈림길3.jpg
15,C,정상,37.407576,126.719651,11:04,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/C정상.jpg
16,D,입구,37.408542,126.714103,0:00,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/D입구.jpg
17,D,갈림길1,37.407478,126.714609,7:57,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/D갈림길1.jpg
18,D,이정표,37.407585,126.71701,10:00,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/D이정표.jpg
19,D,정상,37.407576,126.719651,13:23,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/D정상.jpg
20,E,입구,37.409614,126.715172,0:00,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/E입구.jpg
21,E,갈림길1,37.407547,126.717278,9:00,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/E갈림길1.jpg
22,E,"이정표1,2",37.407569,126.716964,9:00,"https://raw.githubusercontent.com/mmmmmmseong/map/main/images/E이정표1,2.jpg"
23,E,갈림길2,37.407825,126.717933,11:00,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/E갈림길2.jpg
24,E,"이정표3,4",37.408039,126.718506,11:00,"https://raw.githubusercontent.com/mmmmmmseong/map/main/images/E이정표3,4.jpg"
25,E,갈림길3,37.407769,126.719056,11:30,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/E갈림길3.jpg
26,E,정상,37.407576,126.719651,12:20,https://raw.githubusercontent.com/mmmmmmseong/map/main/images/E정상.jpg
